title r_matsci_Relative_DFT_energy_per_molecule_(kcal/mol)
P21c_TSI_ACETAC_3_1750 0.0
Pna21_SG_ACETAC_1_18 0.14666419931472385
Cc_GT_ACETAC_1_25 0.3986021749208832
Pbcn_GIG_ACETAC_3_9 0.5089770973126057
P-1_ITTT_ACETAC_3_409 0.5191815310333702
Pna21_SG_ACETAC_3_35 0.5652967652996201
P21c_TSI_ACETAC_1_2249 0.5683185971008858
P21c_TSI_ACETAC_1_1752 0.6384947245725087
